Santa Monica College - Grade Distribution Fall 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,,2828,PACHAS-FLORES W,6,4,6,2,5,,,,20,,43,
,,,,2816,XIE M C,7,5,4,2,9,,,,13,,40,
,,,,4336,CARTY B,3,13,5,4,8,,,,13,,46,
,,,,2815,MCGRAW C K,11,10,12,6,2,,,,5,,46,
,,,,2812,FOSTER M,1,4,11,8,6,,,,14,,44,
,,,,2813,FOSTER M,2,3,8,6,8,,,,13,,40,
,,,,2818,NGUYEN D T,4,5,5,2,13,,,,17,,46,
,,,,2814,MCGRAW C K,9,5,6,2,,,,,2,,24,
,,,,2827,NGUYEN D T,8,6,4,3,1,,,,5,,27,
,,,,2817,BOJKOV A,11,5,3,4,8,,,,6,,37,
,,,,,,,,,,,,,,Page 88 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,54,2819,TU W,3,5,6,6,5,,,,15,,40,
,,,,2821,EDINGER G C,6,13,11,,6,,1,,12,,49,
,,,,2822,TU W,9,5,6,2,6,,,,9,,37,
,,,,2823,AGASSI N,16,7,5,1,4,,,,7,,40,
,,,,2824,JAHANGARD E,1,3,8,2,9,,,,17,,40,
,,,,2825,EDINGER G C,2,8,6,4,5,,,,19,,44,
,,,,2820,SOLEYMANI S,13,8,5,3,4,,,,11,,44,
,,,,2826,YEE D K,2,1,5,7,12,,,,19,,46,
,,MATH,81,4347,CHITGAR M H,5,6,8,1,6,,,,5,,31,
,,,,4339,NIKOLAYCHUK A M,1,1,5,1,11,,,,11,,30,
,,,,4341,TRAN C D,4,2,3,1,12,,,,6,,28,
,,,,4343,HE F Y,5,5,2,1,5,,,,13,,31,
,,,,4344,LAN H,4,4,7,1,8,,,,8,,32,
,,,,4340,TRAN C D,2,1,7,8,11,,,,,,29,
,,,,4346,SHEYNSHTEYN A S,5,3,5,7,1,,,,7,,28,
,,,,2842,JAHANI F,,2,12,4,7,,,,9,,34,
,,,,4345,NAJAFI S,13,9,4,1,6,,,,4,,37,
,,,,2833,RAHNAVARD M H,3,2,6,3,13,,,,5,,32,
,,,,2840,PACHAS-FLORES W,3,3,7,2,9,,,,9,,33,
,,,,2841,RAFFEL C C,6,1,4,9,,2,,,9,,31,
,,,,2839,LEE P H,2,1,3,16,,,,,12,,34,
,,,,2838,ULRICH J W,3,2,3,1,11,,,,16,,36,
,,,,2837,QUEVEDO J M,,4,4,3,11,,,,7,,29,
,,,,2836,GROMOVA I M,1,7,8,5,7,,,,7,,35,
,,,,2835,KARASIK P A,1,3,2,3,4,,,,15,,28,
,,,,,,,,,,,,,,Page 89 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,81,2834,ROSS K R,1,6,3,5,9,,,,7,,31,
,,,,4342,YAN S K,9,6,3,5,,,,,5,,28,
,,MATH,84,2854,DEAN C R,20,9,4,,1,3,,,3,,40,
,,,,2855,HALAKA E F,26,7,4,,5,,,,1,,43,
,,,,2856,PETIKYAN G,2,11,11,3,5,,,,5,,37,
,,,,2857,JIANG J,7,8,9,3,8,,,,3,,38,
,,,,4348,OWENS D J,1,4,14,6,8,,,,8,,41,
,,,,4349,EVINYAN Z,6,7,6,5,3,,,,8,,35,
,,,,4350,LEE L S,4,13,15,1,7,,,,5,,45,
,,,,4351,KIM J M,1,7,5,6,12,,,,4,,35,
,,,,4353,MAN S,1,6,8,4,4,,,,18,,41,
,,,,2851,SOURY S,,4,4,5,15,,,,8,,36,
,,,,4352,SOLEYMANI S,4,11,8,7,6,,,,9,,45,
,,,,2844,CAIN C D,5,8,10,6,4,,,,6,,39,
,,,,2853,SIMHAN S V,3,8,8,10,7,,,,5,,41,
,,,,2843,BAYSSA B T,5,3,10,3,12,,,,10,,43,
,,,,2852,BRONIE B L,2,1,7,18,2,1,,,7,,38,
,,,,2845,GIZAW A,9,6,6,5,3,,,,13,,42,
,,,,2846,ESMAEILI F A,7,7,11,1,2,,,,,,28,
,,,,2847,CHEN C,4,8,8,2,3,,,,18,,43,
,,,,2848,OWAKA E A,5,6,9,7,8,,,,9,,44,
,,,,2849,TSVIKYAN A,11,6,16,,9,,,,7,,49,
,,,,2850,LEE P H,4,6,2,2,15,,1,,10,,40,
,,MATH,85,2863,KING W S,4,19,20,,2,,,1,5,,51,
,,,,4354,PETIKYAN G,8,9,13,2,6,,,1,10,,49,
,,,,,,,,,,,,,,Page 90 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Mathematics,MATH,MATH,85,3571,TRUJILLO APARIC A Y,6,4,8,13,,,,,6,,37,
,,,,2869,MEKNUNI M,9,7,14,2,6,,,,12,,50,
,,,,2868,ROSS K R,2,6,9,7,6,,,,4,,34,
,,,,4356,HECHT S E,5,3,13,6,17,,,,9,,53,
,,,,2867,HALAKA E F,22,8,4,1,6,,,,6,,47,
,,,,4355,CHAN H J,3,5,7,7,7,,1,,12,,42,
,,,,2864,KARASIK P A,1,3,4,1,5,,,1,27,,42,
,,,,2862,LEE P H,2,6,4,18,,,,,22,,52,
,,,,2861,PHUNG Q T,4,5,3,6,5,,,,13,,36,
,,,,2860,RAHNAVARD M H,4,4,5,7,13,,,,10,,43,
,,,,2859,LOPEZ MA,,7,3,6,16,,,,3,,35,
,,,,2858,TSVIKYAN A,7,3,10,3,12,,,,9,,44,
,,,,2866,LONDON J S,,5,11,7,5,,,,5,,33,
,,,,2865,ESMAEILI F A,7,11,9,5,5,,,,1,,38,
,,MATH,88A,2870,MOASSESSI M,1,,,,,,,,,,1,
Modern,ARABIC,ARABIC,1,4024,BEZRATI S,25,7,1,1,1,,,1,9,,45,
Languages and,,,,,,,,,,,,,,,,,
Cultures,,,,,,,,,,,,,,,,,
,ASL,ASL,1,1187,LAVELLE M L,11,11,1,,,,,,4,,27,
,,ASL,2,4046,DANA M,6,1,8,2,4,,,,4,,25,
,CHNESE,CHNESE,1,1380,WU X,9,2,5,2,2,,,,8,,28,
,,,,1381,WU X,9,8,3,1,1,,,,7,,29,
,,,,4085,WU D,12,9,1,4,,,,,8,,34,
,,CHNESE,2,4086,YU X,12,2,,2,1,,1,,4,,22,
,,CHNESE,3,4087,WU X,9,2,1,,2,,,,2,,16,
,FRENCH,FRENCH,1,2408,POSNER L,9,4,12,1,,,,,9,,35,
,,,,,,,,,,,,,,Page 91 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Modern,FRENCH,FRENCH,1,4236,KOUFOPOULOS Z Y,8,3,2,2,2,2,,1,8,,28,
Languages and,,,,,,,,,,,,,,,,,
Cultures,,,,,,,,,,,,,,,,,
,,,,4235,BREEDLOVE K E,10,8,2,4,,1,,1,7,,33,
,,,,2410,BREEDLOVE K E,13,13,2,3,,,1,1,4,,37,
,,,,2409,CHAPMAN S P,6,6,5,1,9,,,,7,,34,
,,FRENCH,2,2411,BREEDLOVE K E,13,7,1,2,,4,,,6,,33,
,,,,2412,APARICIO M A,3,6,4,1,1,,,2,6,,23,
,,FRENCH,3,2413,APARICIO M A,3,6,4,1,,,,,6,,20,
,,FRENCH,4,4238,ISNER-BALL D R,5,4,,,1,,,2,3,,15,
,,FRENCH,8,2414,APARICIO M A,4,7,4,,1,,,1,6,,23,
,GERMAN,GERMAN,1,2441,GARDNER A,5,7,5,1,2,,,,11,,31,
,,,,2442,TANAKA D J,8,5,2,1,1,,,,10,,27,
,,,,4244,LASHGARI RENSEL M,14,7,1,,2,1,1,,4,,30,
,,GERMAN,2,2443,GERL A,15,5,5,1,1,,,,5,,32,
,,GERMAN,3,2444,GERL A,5,7,2,,1,,,1,3,,19,
,,GERMAN,4,2445,GERL A,,2,1,,,,,,2,,5,
,HEBREW,HEBREW,1,3580,ARIELI-CHAI H,8,5,1,,2,1,,,13,,30,
,,,,4260,MARGOLIS F S,14,3,4,,3,,,,5,,29,
,,HEBREW,2,3581,MORRIS R,14,3,1,1,2,,,,2,,23,
,,,,4261,ZWANG-WEISSMAN,6,6,2,,1,,1,,4,,20,
,ITAL,ITAL,1,2587,LORENZI P,5,3,9,1,3,,,,6,,27,
,,,,4274,TROMBETTA G N,13,5,5,,1,1,,1,5,,31,
,,ITAL,2,2588,KEMITCH F A,3,6,2,,,1,,1,4,,17,
,,ITAL,3,4495,GIRIBALDI M,9,2,1,,1,,,,3,,16,
,JAPAN,JAPAN,1,2591,COMRIE A K,14,4,3,5,3,,,,5,,34,
,,,,,,,,,,,,,,Page 92 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Modern,JAPAN,JAPAN,1,4519,LEE D U,11,8,4,1,,,,,8,,32,
Languages and,,,,,,,,,,,,,,,,,
Cultures,,,,,,,,,,,,,,,,,
,,,,4277,OWENS Y T,5,6,8,2,5,,1,,8,,35,
,,,,4276,KATO N K,17,6,2,1,,,1,,9,,36,
,,,,2592,MINEKAWA Y,24,6,6,1,1,,,,5,,43,
,,,,2590,KINJO H,21,8,2,,,,,,4,,35,
,,,,2589,JOHNSTON S K,13,3,5,1,10,,,,4,,36,
,,,,2593,KUBO M S,7,11,4,2,5,,,,5,,34,
,,JAPAN,2,4278,NISHIKAWA M,16,5,2,1,,,,1,,,25,
,,,,2594,KITAZONO Y,27,6,1,2,1,,,,,,37,
,,,,2595,NISHIKAWA M,8,4,7,,,,,,5,,24,
,,,,2596,NISHIKAWA M,12,1,5,5,2,,,2,6,,33,
,,JAPAN,3,4279,TAKEMORI K,24,1,,,,,,,2,,27,
,,,,2597,MIURA Y,3,8,2,1,1,,,,1,,16,
,,JAPAN,4,4280,TADA K,11,1,1,1,,,,,1,,15,
,KOREAN,KOREAN,1,2692,CHA J,26,4,1,3,,,,,4,,38,
,,,,2693,PARK JI,21,4,1,1,1,,,,5,,33,
,,,,2694,KIM SO,16,6,2,2,1,,,,8,,35,
,,KOREAN,2,2695,CHA J,25,6,1,2,,,,1,1,,36,
,,KOREAN,3,2696,CHA J,19,5,2,2,1,,,,2,,31,
,LING,LING,1,2701,GRAMA J,13,9,1,11,,,,,10,,44,
,,,,2702,HASHIMOTO Y,15,8,2,4,,,1,,3,,33,
,,,,3532,GRAMA J,13,7,3,2,11,,,,9,,45,
,PERSIN,PERSIN,1,4400,POURZANGIABADI B,19,5,1,,,,,,4,,29,
,RUSS,RUSS,1,4463,BAUCKUS S J,23,5,1,1,1,,,,8,,39,
,,,,,,,,,,,,,,Page 93 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Modern,SPAN,SPAN,1,3495,MUNIZ GRACIA A,18,7,2,1,3,,,,7,,38,
Languages and,,,,,,,,,,,,,,,,,
Cultures,,,,,,,,,,,,,,,,,
,,,,4468,QUINONES H C,5,7,4,,1,,,1,10,,28,
,,,,4467,ERICKSON M P,10,2,2,1,,,,,8,,23,
,,,,4466,ERICKSON M P,4,5,2,,3,,,,5,,19,
,,,,3383,BARRIODEMENDOZA M,12,9,3,,1,,,2,6,,33,
,,,,3382,ERICKSON M P,5,3,3,4,2,,,,13,,30,
,,,,3381,BOLIVAR-OWEN E,7,7,3,1,,,,,6,,24,
,,,,3380,BOLIVAR-OWEN E,5,8,1,1,,,,,11,,26,
,,,,3379,MELENDEZ-BALLES N,17,10,3,,,,,,4,,34,
,,,,3378,BOLIVAR-OWEN E,3,3,,3,2,,,,5,,16,
,,,,4465,ZARATE S,3,6,4,,1,,,,6,,20,
,,SPAN,2,3386,SCHAFFER S C,5,5,5,4,2,,,1,6,,28,
,,,,4469,KIM YUNSOOK,9,5,5,,2,,,,3,,24,
,,,,3385,CANDELARIA C,8,6,1,2,2,2,,,8,,29,
,,,,3384,MIZUKI A H,3,5,4,2,2,,,1,7,,24,
,,SPAN,3,4470,NDOLEY M N,4,5,1,,1,,,1,3,,15,
,,,,3387,ANDERSON R A,3,9,10,3,3,,,,3,,31,
,,SPAN,4,4471,FIGUEROA A B,10,9,4,,1,,,,1,,25,
,,SPAN,8,3388,APARICIO M A,6,2,1,,,,1,,7,,17,
,,SPAN,11,3389,ANDERSON R A,3,7,1,5,4,,,,6,,26,
,,,,3390,AREVALO L H,3,7,4,2,2,,,,3,,21,
,,SPAN,12,3391,ANDERSON R A,2,3,3,,1,,,,4,,13,
,,SPAN,20,3392,BUZATU A,3,4,,,2,,,,8,,17,
,,SPAN,31A,3497,MUNIZ GRACIA A,6,3,3,2,,1,,,,,15,
,,,,,,,,,,,,,,Page 94 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Modern,SPAN,SPAN,31A,3496,MUNIZ GRACIA A,6,3,4,1,,,,,2,,16,
Languages and,,,,,,,,,,,,,,,,,
Cultures,,,,,,,,,,,,,,,,,
,,,,3393,MIZUKI A H,7,3,3,2,1,,,1,5,,22,
Music,MUSIC,MUSIC,1,2931,TITMUS J G,29,13,3,1,,,,,1,,47,
,,,,4498,DUTTON D L,9,3,1,4,3,,,,1,,21,
,,,,4372,MORA R K,26,12,2,2,,,,,2,,44,
,,,,4371,HOLT D K,12,1,5,2,3,,,,7,,30,
,,,,3467,TAKESUE S A,11,6,2,4,14,,,,4,,41,
,,,,2930,DRISCOLL B S,8,5,6,4,5,,,,11,,39,
,,,,2929,TITMUS J G,27,11,2,,,,,,3,,43,
,,,,2928,ZUSMAN S P,12,,2,1,1,2,,,2,,20,
,,,,2927,GARVEY F J,5,5,4,5,7,,,,10,,36,
,,,,2926,CHOU L,19,7,1,2,8,,,,5,,42,
,,,,2925,YOUNG A L,7,5,4,1,,,4,,13,,34,
,,,,4370,MORA R K,25,3,3,,,,,,2,,33,
,,MUSIC,2,2932,DRISCOLL B S,7,5,2,5,1,,,,11,,31,
,,,,2933,DRISCOLL B S,2,5,3,4,5,,,,12,,31,
,,MUSIC,3,2934,GOODMAN D B,2,4,8,4,,,,1,2,,21,
,,MUSIC,4,2935,GOODMAN D B,7,8,3,,,,,,1,,19,
,,MUSIC,6,2937,DRISCOLL B S,3,3,2,3,5,,,,13,,29,
,,,,2936,DRISCOLL B S,8,1,2,5,2,,,,11,,29,
,,MUSIC,7,2938,GOODMAN D B,3,4,7,4,1,,,1,2,,22,
,,MUSIC,8,2939,GOODMAN D B,7,7,4,,,,,,1,,19,
,,MUSIC,19,2940,GOODMAN D B,5,10,,,,,,,,,15,
,,MUSIC,30,2941,ZUSMAN S P,6,3,3,1,,,,,1,,14,
,,,,,,,,,,,,,,Page 95 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Music,MUSIC,MUSIC,32,2954,TITMUS J G,36,5,,3,,,,1,5,,50,
,,,,2955,TRABOLD W E,18,4,1,,,1,,,12,,36,
,,,,2952,TRABOLD W E,10,2,2,,,,,,7,,21,
,,,,2951,ZUSMAN S P,12,2,5,1,5,,,,2,,27,
,,,,2950,TRABOLD W E,10,2,4,6,,,,,4,,26,
,,,,2949,HOLT D K,6,3,2,4,4,2,,,2,,23,
,,,,2947,YOUNG A L,8,9,6,1,2,,,,,,26,
,,,,2946,MARTIN J M,10,3,4,1,,,,,2,,20,
,,,,2945,MARTIN J M,26,,,,,,,,,,26,
,,,,2944,BERGMAN J F,7,7,2,7,,2,,1,6,,32,
,,,,2943,BERGMAN J F,13,3,,10,,,,1,6,,33,
,,,,2948,YOUNG A L,12,13,2,3,,,,,1,,31,
,,MUSIC,33,2960,TERRY L,7,4,4,1,5,,,,2,,23,
,,,,4375,TERRY L,11,13,3,3,6,,,,4,,40,
,,,,4374,TERRY L,8,8,10,6,,,,,4,,36,
,,,,2956,FIDDMONT F K,31,1,,,,,,,1,,33,
,,,,2961,ONEAL K A,79,,,1,,,,,1,,81,
,,,,2959,ONEAL K A,68,1,,3,,,,,1,,73,
,,,,2958,FIDDMONT F K,79,18,8,2,8,,,,13,,128,
,,,,2957,PILLICH G S,6,8,1,3,3,,,,2,,23,
,,,,4373,ONEAL K A,73,,,1,,,,,3,,77,
,,MUSIC,36,3590,SMITH ME M,11,7,7,2,4,,,1,8,,40,
,,,,4376,PARNELL D J,14,4,1,1,8,,,,4,,32,
,,MUSIC,37,2963,ALVISO J R,6,11,9,3,6,,,,23,,58,
,,MUSIC,40,4378,GORDON G R,13,2,1,,,,,,2,,18,
,,,,,,,,,,,,,,Page 96 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Music,MUSIC,MUSIC,45,2964,GRAY G L,6,,,,,,,,,,6,
,,MUSIC,50A,2968,DE STEFANO J D,10,4,,3,,,1,,7,,25,
,,,,4379,PARNELL D J,11,2,,4,,,,,8,,25,
,,,,2966,KAHN D Z,14,2,2,,,,,,9,,27,
,,,,2965,DE STEFANO J D,24,3,,1,,,,,4,,32,
,,,,2967,DE STEFANO J D,18,2,,,,,,,5,,25,
,,MUSIC,50B,4380,OLIVER G A,13,1,,3,,,,,6,,23,
,,,,2970,DE STEFANO J D,15,3,,5,,,,,1,,24,
,,MUSIC,53,3547,LOCH A J,21,,,2,,,,,1,,24,
,,,,4381,PREPONIS A,21,1,,,,,,,2,,24,
,,MUSIC,55,4382,HULS J J,11,,,,,,,,2,,13,
,,MUSIC,57,4383,PARNELL D J,20,,1,3,,,,,5,,29,
,,MUSIC,59,2972,DRISCOLL B S,29,2,,,,,,,3,,34,
,,MUSIC,60A,2979,CHOU L,13,4,,,,,,,4,,21,
,,,,4384,CAMPBELL B P,8,1,,1,,,1,,5,,16,
,,,,2981,SCHREINER G,18,2,,,,,,,2,,22,
,,,,2982,CHOU L,11,4,2,2,,,,,3,,22,
,,,,4385,SCHREINER G,11,,,1,,,,,5,,17,
,,,,2980,STERLING J,4,,,1,,,,,5,,10,
,,,,2977,GLIADKOVSKAYA E,3,1,2,,,,,1,6,,13,
,,,,2976,KOZLOVA YU V,6,8,2,1,,,,1,4,,22,
,,,,2975,KIM J,4,2,2,2,,,,,7,,17,
,,,,2974,TUIT R H,5,3,2,1,,,,,3,,14,
,,,,2973,STERLING J,5,,,,,,,,3,,8,
,,,,3462,CHOU L,12,1,,1,,,,,6,,20,
,,,,,,,,,,,,,,Page 97 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Music,MUSIC,MUSIC,60A,2978,GLIADKOVSKAYA E,7,3,,3,,,,,3,,16,
,,MUSIC,60B,4386,CAMPBELL B P,9,3,,3,,,,,3,,18,
,,,,2983,TUIT R H,14,2,1,,,,,,,,17,
,,,,2984,KIM J,10,1,2,,,,,,4,,17,
,,,,2985,CHOU L,10,5,1,,,,,,3,,19,
,,MUSIC,60C,2986,KOZLOVA YU V,7,5,1,,,,,,2,,15,
,,MUSIC,60D,2988,KOZLOVA YU V,9,5,4,1,,,,,2,,21,
,,MUSIC,65A,4387,AGUIAR J A,15,,,,,,,1,3,,19,
,,MUSIC,66,2991,TAKESUE S A,5,2,1,1,4,,,,2,,15,
,,MUSIC,70A,2992,SANDERSON A,7,,,1,,,,,3,,11,
,,MUSIC,71,2995,MORA R K,9,1,,,,,,,2,,12,
,,MUSIC,72,2996,MORA R K,7,1,,,,,,,,,8,
,,MUSIC,73A,2997,SMITH ME M,9,3,1,1,2,,,,1,,17,
,,MUSIC,73B,2998,SMITH ME M,11,1,,1,,,,,1,,14,
,,MUSIC,74,4388,MARTIN J M,15,,,,,,,,2,,17,
,,MUSIC,76,3000,MORA R K,5,,,,,,,,1,,6,
,,MUSIC,77,4389,MC KEOWN K O,17,,,,,,,,,,17,
,,MUSIC,78,4390,FIDDMONT F K,13,,,,,,,,2,,15,
,,,,3545,WHALEY T L,25,1,,,,,,,1,,27,
,,MUSIC,79A,3002,FIDDMONT F K,9,4,,1,,,,,2,,16,
,,MUSIC,84A,3003,CHEESMAN J M,10,3,,,,,,,4,,17,
,,,,3004,HARMON J M,12,,,,,,,,6,,18,
,,,,3005,HARMON J M,11,1,2,,,,,,4,,18,
,,,,3009,SCHULMAN J,5,4,3,,,,,,2,,14,
,,,,3546,HARRIS M S,18,6,2,,,,,,,,26,
,,,,,,,,,,,,,,Page 98 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Music,MUSIC,MUSIC,84A,4391,CARTER T M,24,4,,,,,,,8,,36,
,,MUSIC,84B,3010,HARMON J M,16,,2,,,,,,2,,20,
,,,,4392,CHEESMAN J M,12,1,1,,,,,,4,,18,
,,MUSIC,84C,3011,CARTER T M,15,,,,,,,,4,,19,
,,MUSIC,87A,4393,SCHULMAN J,11,3,,2,,,,,3,,19,
,,MUSIC,92,3018,DRISCOLL B S,26,3,1,,,,,,,,30,
,,MUSIC,94,3029,DRISCOLL B S,19,9,2,,,,,,,,30,
Philosophy and,ECON,ECON,1,1829,GILL H S,14,5,9,5,3,,,,11,,47,
Social Sciences,,,,,,,,,,,,,,,,,
,,,,4158,TERZYAN A,14,21,23,5,8,,,,7,,78,
,,,,4157,CARTER T D,64,7,4,4,2,1,,,1,,83,
,,,,3569,ALJARBA A F,7,13,6,1,2,,,,5,,34,
,,,,3520,GURTOVOY J,4,9,8,4,3,,,,11,,39,
,,,,1833,SU B C,14,7,5,1,,,,,5,,32,
,,,,1834,GILL H S,4,5,10,3,7,,,,11,,40,
,,,,1832,SU B C,24,6,6,2,5,,,,4,,47,
,,,,1831,KESKINEL M,36,8,,,,,,,,,44,
,,,,1830,GILL H S,4,2,11,5,3,,,2,15,,42,
,,,,1820,ABDEL-RAHMAN A A,11,5,4,,9,,,,13,,42,
,,,,1828,GILL H S,19,6,8,3,2,,,1,4,,43,
,,,,3498,ABDEL-RAHMAN A A,10,8,7,11,,,,,10,,46,
,,,,1819,GARCIA C P,5,7,10,4,21,,,,7,,54,
,,,,1821,LEE SAM,13,7,8,,1,,,,8,,37,
,,,,1822,GARCIA C P,12,3,7,4,26,,,,4,,56,
,,,,1823,SAXTON J,11,12,9,2,5,1,,,7,,47,
,,,,,,,,,,,,,,Page 99 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Philosophy and,ECON,ECON,1,1824,CHAN A K-C,11,20,10,12,18,,,,15,,86,
Social Sciences,,,,,,,,,,,,,,,,,
,,,,1825,CHAN A K-C,11,14,15,8,14,,,,16,,78,
,,,,1826,GARCIA C P,14,6,3,3,10,,,,6,,42,
,,,,1827,GARCIA C P,10,7,,2,12,,,,3,,34,
,,,,1818,ABDEL-RAHMAN A A,11,3,7,2,7,,,,18,,48,
,,ECON,2,4160,SAXTON J,13,12,10,4,6,,1,,8,,54,
,,,,1841,CHAN A K-C,12,21,15,10,10,,,,8,,76,
,,,,4159,CARTER T D,66,9,4,,3,,,,1,,83,
,,,,3472,CHAN A K-C,6,13,8,8,3,,,,6,,44,
,,,,1849,SU B C,38,8,,1,,,,,1,,48,
,,,,1848,KESKINEL M,26,5,2,1,,1,,,2,,37,
,,,,1847,BROWN B C,10,10,5,1,3,,,1,8,,38,
,,,,1846,KESKINEL M,32,9,,,,1,,,2,,44,
,,,,1845,BROWN B C,12,20,5,1,5,,,,2,,45,
,,,,1835,TERZYAN A,10,14,5,5,4,,,,7,,45,
,,,,1842,BROWN B C,9,11,5,6,1,,1,1,7,,41,
,,,,1840,GURTOVOY J,4,6,5,8,9,,,,14,,46,
,,,,1839,LEE SAM,11,9,4,3,,,,,4,,31,
,,,,1838,GILL H S,26,23,32,12,13,,1,,6,,113,
,,,,1837,GARCIA C P,15,4,7,4,9,,,,3,,42,
,,,,1836,GILL H S,9,10,12,7,5,,,,,,43,
,,,,1844,GARCIA C P,9,8,8,3,6,,,,3,,37,
,,,,1843,GARCIA C P,17,4,3,,12,,,1,5,,42,
,,ECON,5,1852,RABACH E R,11,4,1,3,2,,,,6,,27,
,,,,,,,,,,,,,,Page 100 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Philosophy and,ECON,ECON,5,1851,RABACH E R,9,4,5,1,4,,,1,10,,34,
Social Sciences,,,,,,,,,,,,,,,,,
,,,,1850,BERMAN DIANNE R,3,7,4,,2,,,,4,,20,
,,ECON,15,1853,RABACH E R,4,5,7,4,2,,1,,14,,37,
,,,,1854,RABACH E R,14,3,7,6,2,,,1,8,,41,
,,,,4161,MOORE D W,7,12,3,,1,,,3,4,,30,
,,ECON,88A,1855,SCHULTZ C K,1,,,,,,,,,,1,
,ENVRN,ENVRN,20,2224,KATHERINE A L,9,3,2,,3,,,,7,,24,
,,ENVRN,22,2225,OIFER E R,6,5,,1,2,,,,5,,19,
,GLOBAL,GLOBAL,5,2447,BERMAN DIANNE R,2,3,,,,,,,1,,6,
,,,,2448,RABACH E R,2,3,2,,5,,,,5,,17,
,,,,2449,RABACH E R,2,1,8,1,1,,,,3,,16,
,,GLOBAL 95,,3574,D DEL PICCOLO G L,,,,,,,,,1,,1,
,HIST,HIST,15,2533,RABACH E R,3,5,6,3,3,,1,,7,,28,
,,,,2534,RABACH E R,5,7,7,1,2,,,,7,,29,
,,,,4267,MOORE D W,3,6,4,,,,,,1,,14,
,PHILOS,PHILOS,1,3129,KATHERINE A L,20,6,,,,,,,,,26,
,,,,4401,LLAGUNO M A,9,13,6,2,1,1,,,7,,39,
,,,,3135,ORTEGA G R,7,11,7,1,5,,,,10,,41,
,,,,3134,BENNET S E,33,6,2,,,,,,1,,42,
,,,,3133,BENNET S E,33,3,2,,,,,,3,,41,
,,,,3132,FLORES ROBERT,1,8,7,2,3,1,,,12,,34,
,,,,3130,KATHERINE A L,39,48,22,4,6,,,2,21,,142,
,,,,3128,KAMLER H F,13,15,10,2,,,,,6,,46,
,,,,3127,HUFFAKER P,7,12,5,6,6,,,,8,,44,
,,,,,,,,,,,,,,Page 101 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Philosophy and,PHILOS,PHILOS,1,3126,KATHERINE A L,13,17,8,2,,,,,15,,55,
Social Sciences,,,,,,,,,,,,,,,,,
,,,,3125,KAMLER H F,13,12,14,1,1,,,,9,,50,
,,,,3124,KAUFMAN S M,11,6,3,1,8,,,1,12,,42,
,,,,3123,HUFFAKER P,7,8,4,4,6,,,,12,,41,
,,,,3131,FLORES ROBERT,1,8,7,3,6,,,,15,,40,
,,PHILOS,2,3136,HUFFAKER P,14,10,4,1,2,,,,8,,39,
,,,,3139,STRAMEL J S,8,7,5,4,10,1,,,7,,42,
,,,,3137,STRAMEL J S,7,10,10,2,6,,,,8,,43,
,,,,3138,KAUFMAN S M,17,11,4,3,,,,,11,,46,
,,PHILOS,3,3140,STRAMEL J S,10,9,2,2,2,,,,3,,28,
,,,,3141,STRAMEL J S,6,6,12,2,7,,,,10,,43,
,,PHILOS,4,3142,KATHERINE A L,23,6,1,2,,,,,3,,35,
,,,,3143,LLAGUNO M A,12,14,9,2,3,1,,,5,,46,
,,PHILOS,5,3144,STRAMEL J S,15,6,5,10,,,,,10,,46,
,,PHILOS,7,3146,ORTEGA G R,2,10,9,4,1,,,,7,,33,
,,,,3145,ORTEGA G R,4,3,1,1,3,,,,4,,16,
,,PHILOS,9,3147,FALCONER K L,19,12,4,1,5,,,,5,,46,
,,PHILOS 20,,3148,KATHERINE A L,12,3,2,1,,,,,8,,26,
,,PHILOS 22,,3149,QUESADA D M,65,10,4,5,,,,,2,,86,
,,PHILOS 23,,3150,BENNET S E,20,13,3,1,5,,,,2,,44,
